product_id,original_id,name,brand,gender,master_category,sub_category,article_type,base_color,season,year,usage,image_url,price,stock,rating,review_count
PROD-12369,12369,Reid & Taylor Men Check Purple Shirts,Reid,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,https://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg,45.59,43,3.8,34
PROD-29928,29928,Police Men Black Dial Watch PL12889JVSB,Police,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg,307.21,29,3.8,272
PROD-42419,42419,Gini and Jony Girls Knit White Top,Gini,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,33.71,26,4.4,101
PROD-51832,51832,Bwitch Beige Full-Coverage Bra BW335,Bwitch,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,https://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg,45.33,36,4.0,225
PROD-47359,47359,Baggit Women Brown Handbag,Baggit,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg,149.04,4,4.4,126
PROD-17429,17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Casio,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,https://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg,154.87,16,3.9,187
PROD-12967,12967,ADIDAS Men Spry M Black Sandals,Adidas,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg,123.56,36,4.1,318
PROD-6842,6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Timberland,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg,15.08,40,4.0,245
PROD-13089,13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Adidas,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,https://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg,65.82,22,4.6,11
PROD-18461,18461,David Beckham Signature Men Deos,David,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,https://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg,25.64,0,4.1,67
PROD-9036,9036,Buckaroo Men Flores Black Formal Shoes,Buckaroo,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,https://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg,66.46,29,3.8,256
PROD-48311,48311,Pitaraa Women Bronze Beaded Bracelet,Pitaraa,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg,68.4,13,4.5,27
PROD-7990,7990,Fila Men's Round Neck Navy Blue T-shirt,Fila,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,https://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg,52.86,47,4.9,89
PROD-56019,56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Colorbar,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,https://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg,27.46,14,4.7,178
PROD-21977,21977,Murcia Women Casual Brown Handbag,Murcia,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,https://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg,173.97,23,4.9,250
PROD-37812,37812,John Players Men Navy Blue Shirt,John,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,https://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg,53.14,14,4.6,273
PROD-4729,4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Disney,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg,49.71,47,4.0,112
PROD-56825,56825,John Players Men Brown Shirt,John,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg,42.63,33,3.8,111
PROD-39988,39988,Gas Men Europa White Shoes,Gas,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,https://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg,177.97,4,4.4,18
PROD-59051,59051,Carlton London Women Black & Gold Toned Flats,Carlton,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg,55.92,37,4.8,44
PROD-20099,20099,Diva Women Embroided Green Kurta,Diva,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,https://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg,64.57,19,4.3,77
PROD-58183,58183,Rocky S Women White Handbag,Rocky,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg,81.01,0,3.7,39
PROD-29742,29742,Kiara Women Teal Handbag,Kiara,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg,45.44,35,4.0,289
PROD-51658,51658,Fossil Women Copper Chronograph Watch CH2589,Fossil,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg,239.38,36,4.3,251
PROD-3954,3954,Jealous 21 Women's Pink T-shirt,Jealous,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg,56.02,25,4.8,122
PROD-18839,18839,Peter England Men Formal Black Belt,Peter England,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,https://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg,51.73,37,4.8,209
PROD-2886,2886,Catwalk Women Leather Brown Flats,Catwalk,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,https://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg,78.16,24,4.4,21
PROD-23278,23278,Maxima Ssteele Men Off White Watch,Maxima,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg,182.23,18,3.7,68
PROD-28690,28690,W Women Printed Beige Kurta,W,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,https://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg,35.44,40,3.8,240
PROD-8580,8580,Scullers Men  Grey Waistcoat,Scullers,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg,45.74,29,4.7,180
PROD-3168,3168,Nike Men's Incinerate MSL White Blue Shoe,Nike,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,https://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg,168.93,25,4.2,118
PROD-18005,18005,Puma Men Long Logo Black Bermuda,Puma,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,https://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg,62.75,39,4.5,119
PROD-17871,17871,Levis Men Boxer Maroon Brief,Levis,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg,34.74,4,3.8,190
PROD-9452,9452,John Miller Men Stripes White Red Shirts,John,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,https://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg,51.17,45,3.8,80
PROD-38402,38402,Baggit Women Hood Dabang Black Belt,Baggit,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/2eb3aa5eefb3319f10f7815100a18e3c_images.jpg,51.59,28,4.3,132
PROD-44984,44984,Maxima Women White Dial Watch,Maxima,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/676dd802241d46a5ce28c78d1dabbc5a_images.jpg,328.35,29,4.0,271
PROD-10268,10268,Clarks Men Hang Work Leather Black Formal Shoes,Clarks,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,https://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg,159.31,23,4.3,229
PROD-45856,45856,Vishudh Women Brown Kurta,Vishudh,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,https://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg,77.99,39,4.9,200
PROD-32138,32138,Playboy Men Blue Titanium Briefs,Playboy,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg,46.46,14,4.1,102
PROD-59435,59435,Arrow Men Black Formal Shoes,Arrow,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,https://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg,191.63,48,4.0,265
PROD-5891,5891,Puma Men's Stripe Polo Black T-shirt,Puma,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg,36.64,23,4.2,187
PROD-38630,38630,Nike Women Purple Polo T-shirt,Nike,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg,57.49,23,3.7,23
PROD-4943,4943,Gini and Jony Boy's Kaleb White Brown Kidswear,Gini,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg,22.87,6,4.1,61
PROD-11188,11188,Carrera Men Dial steel finish strap Silver Watches,Carrera,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg,142.67,20,4.8,223
PROD-10866,10866,Wrangler Men Motor Rider Red T-Shirts,Wrangler,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg,23.81,17,4.1,255
PROD-59607,59607,FNF Pink & Grey Wedding Collection Sari,Fnf,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,https://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg,28.9,4,4.1,32
PROD-15528,15528,Puma Men Scribble Black Tshirts,Puma,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg,49.75,20,4.7,27
PROD-45258,45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Casio,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg,348.55,32,4.2,88
PROD-42841,42841,French Connection Women Beige Handbag,French,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/97d3bb4a71c9f7da88305ce9144d8576_images.jpg,51.14,31,4.6,22
PROD-22198,22198,Timberland Men Black Casual Shoes,Timberland,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg,139.17,8,4.3,201
PROD-29570,29570,Vans Men Classic Slip-On Purple & Black Shoes,Vans,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg,97.18,50,4.0,135
PROD-43993,43993,Police Women Passion Perfume,Police,Women,Personal Care,Fragrance,Perfume And Body Mist,Pink,Spring,2017,Casual,https://assets.myntassets.com/v1/images/style/properties/438c41900a80acabb3ef197f0559a9eb_images.jpg,32.01,4,4.8,302
PROD-6628,6628,ADIDAS Men's Lowell White Silver Shoe,Adidas,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,https://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg,51.97,20,4.0,307
PROD-54924,54924,Do U Speak Green Men Blue Shorts,Do,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg,64.49,32,4.5,213
PROD-26538,26538,ID Men Red Shoes,Id,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg,112.84,9,4.4,203
PROD-35913,35913,Peperone Women Black & White Handbag,Peperone,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg,171.27,9,4.7,282
PROD-49495,49495,Vans Men Khaki Shoes,Vans,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg,118.23,21,3.9,142
PROD-9660,9660,Indigo Nation Men Reversible Bling Pink Shirts,Indigo,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg,25.18,30,4.5,246
PROD-2288,2288,Nike Women Black T-shirt,Nike,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,https://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg,58.0,20,4.3,280
PROD-23876,23876,ADIDAS Men Blue Sweatshirt,Adidas,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg,21.22,3,4.3,42
PROD-18237,18237,Manchester United Men Solid Red Tshirt,Manchester,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg,65.83,8,3.8,254
PROD-54118,54118,Rocia Women Black Flats,Rocia,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/8d6fd53f28e010658cdf5c14c43d0cb0_images.jpg,115.06,11,4.1,165
PROD-2872,2872,Catwalk Women Leather Flats,Catwalk,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,https://assets.myntassets.com/v1/images/style/properties/4d90e05b9e99e203b3ce191439619bcb_images.jpg,90.8,8,3.9,233
PROD-49653,49653,Mineral Women Green Top,Mineral,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg,69.61,29,4.4,209
PROD-8574,8574,Crocs Dora Boots Pink Sandals,Crocs,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/0be6693dafb4261645b22c6e9e7e67f4_images.jpg,70.78,43,4.2,263
PROD-16957,16957,Image Men Sunglasses,Image,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/Image-Men-Classic-Eyewear-Black-Sunglasses_a37f3b87d0d05062ed063adc7aac78bf_images.jpg,78.82,25,4.3,140
PROD-19123,19123,Lotto Men XL Water Man Silver Slippers,Lotto,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg,146.61,34,3.9,206
PROD-13419,13419,United Colors of Benetton Men Solid Pink Polo T-shirts,United Colors Of Benetton,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg,68.25,21,3.7,7
PROD-17885,17885,Levis Men Comfort Style Grey Innerwear Vest,Levis,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/c5c095c0e09eb200aa8d57457c53ec07_images.jpg,58.05,7,4.2,285
PROD-43369,43369,Reebok Men Black Possession Flip Flops,Reebok,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,https://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg,213.19,11,3.9,46
PROD-48781,48781,Lucera Women Silver Pendant,Lucera,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/aff52e6e6bc208923a493612e8f6a3e7_images.jpg,50.97,43,4.5,181
PROD-44970,44970,Maxima Men White Dial Analog Chronograph Watch,Maxima,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/80c170d3a8e46c81f22ecebd1f772d32_images.jpg,90.25,49,4.1,281
PROD-56489,56489,Streetwear Ash Nail Polish # 31,Streetwear,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,Casual,https://assets.myntassets.com/v1/images/style/properties/Streetwear-Ash-Nail-Polish--31_21d33100dbf0e4b8bb0b33a980de469b_images.jpg,36.25,36,4.3,87
PROD-39524,39524,Peter England Unisex Orange Sleeve Bag,Peter England,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/1847a81fa1d237bfbae1e797dff55909_images.jpg,146.87,44,4.8,137
PROD-33822,33822,Puma Men Axis White & Grey Sports Shoes,Puma,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,https://assets.myntassets.com/v1/images/style/properties/52ad8ae288ba080d88a116b3c70305ec_images.jpg,147.98,36,3.8,107
PROD-58513,58513,Tonga Women Maroon Top,Tonga,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg,31.65,8,3.9,261
PROD-25947,25947,Femella Women Brown Scarf,Femella,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/aeb9132a29d8844aca73a4544d8135c5_images.jpg,46.78,28,4.0,107
PROD-52029,52029,Just Natural Unisex Charcoal Rain Jacket,Just,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg,55.67,45,4.3,67
PROD-5865,5865,ADIDAS Men's Twelve Faster T-shirt,Adidas,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg,26.02,20,4.0,139
PROD-39716,39716,Arrow Woman Women Blue Dress,Arrow,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg,55.86,22,4.6,271
PROD-25349,25349,Levis Men Red Brief,Levis,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,https://assets.myntassets.com/v1/images/style/properties/07f0136ab41d3167b3d1e8b84cfc5107_images.jpg,27.15,12,4.1,171
PROD-11940,11940,Ganuchi Men Casual Black Sandals,Ganuchi,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg,112.76,30,4.2,183
PROD-55802,55802,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Sdl,Women,Apparel,Loungewear And Nightwear,Night Suits,White,Summer,2017,Casual,https://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg,107.35,13,4.8,292
PROD-29584,29584,Indigo Nation Men Printed Black T-shirt,Indigo,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/7a1bc7d255671c7f4b85f1b1b35e945b_images.jpg,56.6,10,4.4,180
PROD-43967,43967,DKNY Women Red Delicious Perfume,Dkny,Women,Personal Care,Fragrance,Perfume And Body Mist,Red,Spring,2017,Casual,https://assets.myntassets.com/v1/images/style/properties/2965814bbf6d6a14e720c712941b323c_images.jpg,86.29,43,3.8,106
PROD-28456,28456,Urban Yoga Women Blue Skirt With Leggings,Urban,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,https://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg,63.78,5,4.9,140
PROD-34009,34009,Gini and Jony Girls Black Top,Gini,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,https://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg,55.05,44,4.5,76
PROD-19311,19311,Nike Men Air Rift MTR White Casual Shoe,Nike,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,https://assets.myntassets.com/v1/images/style/properties/ac5a2fb9462db16f4cf5fc0f3616a9e6_images.jpg,205.37,16,4.4,92
